team1_pick1,team1_pick2,team1_pick3,team1_pick4,team1_pick5,team2_pick1,team2_pick2,team2_pick3,team2_pick4,team2_pick5,team1_wins
Varus,Ambessa,Nautilus,Akali,Lee Sin,Jayce,Miss Fortune,Wukong,Sylas,Rakan,1
Skarner,Azir,Ambessa,Corki,Renata Glasc,K'Sante,Aurora,Nocturne,Rakan,Aphelios,1
Gnar,Rell,Jinx,Sejuani,Taliyah,Xin Zhao,Renekton,Ahri,Aphelios,Thresh,0
Ezreal,Jax,Sejuani,Akali,Leona,Rumble,Vi,Jhin,Poppy,Galio,0
Corki,Leona,Nidalee,Udyr,Sivir,Yone,Karthus,Alistar,Tristana,Aatrox,0
Wukong,Ezreal,Orianna,Rumble,Alistar,Varus,Sejuani,K'Sante,Rell,Hwei,1
Skarner,Ezreal,Gragas,Yone,Poppy,Vi,Varus,Ahri,Ambessa,Rakan,1
Skarner,Corki,Orianna,Ambessa,Nautilus,Varus,Ornn,Syndra,Lee Sin,Taric,0
Corki,Ivern,Ziggs,Gnar,Nautilus,Varus,Skarner,Rell,Syndra,Jayce,0
Viktor,Nocturne,Ezreal,Rakan,Ambessa,Varus,Wukong,Azir,Leona,K'Sante,1
Skarner,K'Sante,Yone,Miss Fortune,Rell,Viktor,Corki,Sejuani,Leona,Jayce,1
Aurora,Wukong,Kai'Sa,Galio,Poppy,Rumble,Viego,Taliyah,Rakan,Xayah,1
Ashe,Braum,K'Sante,Wukong,Akali,Aurora,Vi,Varus,Rell,Ambessa,0
Varus,Nautilus,Renekton,Brand,Yasuo,Xin Zhao,Renata Glasc,Kalista,Gragas,Ambessa,0
Kalista,Galio,Neeko,Sylas,Viego,Rumble,Viktor,Miss Fortune,Nautilus,Lee Sin,1
Corki,Rakan,Jax,Pantheon,Ahri,Xin Zhao,Leona,Gragas,Ezreal,Taliyah,1
Kalista,Ambessa,Renata Glasc,Akali,Wukong,Yone,Sejuani,Ziggs,Jayce,Alistar,1
Orianna,Kindred,Xayah,Udyr,Bard,Jinx,Nocturne,Syndra,Blitzcrank,Gnar,0
K'Sante,Viktor,Xin Zhao,Xayah,Rakan,Nocturne,Aurora,Orianna,Kai'Sa,Rell,1
Ashe,Jax,Braum,Ivern,Smolder,Corki,Nidalee,Ezreal,Sion,Blitzcrank,1
Corki,Galio,Jarvan IV,Cho'Gath,Rell,Varus,Vi,Viktor,K'Sante,Alistar,1
Viktor,K'Sante,Ezreal,Wukong,Leona,Varus,Maokai,Vi,Taliyah,Braum,0
Corki,Rumble,Rell,Azir,Nocturne,Varus,Wukong,Orianna,Rakan,Galio,0
Viktor,Wukong,Ezreal,Braum,K'Sante,Varus,Vi,Xerath,Jayce,Karma,0
Kalista,Renata Glasc,Sejuani,Rumble,Yone,Ashe,Maokai,Seraphine,Nocturne,Akali,1
Wukong,K'Sante,Xayah,Nautilus,Ryze,Galio,Ezreal,Poppy,Viego,Alistar,0
Varus,K'Sante,Orianna,Renata Glasc,Wukong,Corki,Nocturne,Camille,Sylas,Rakan,0
Aurora,Sejuani,Yone,Miss Fortune,Nautilus,Ashe,Vi,Cassiopeia,Gnar,Braum,0
Maokai,Rell,Miss Fortune,Syndra,Viego,Varus,Ivern,Braum,Rumble,Ezreal,1
Kalista,Rumble,Vi,Nautilus,Aurora,Ezreal,K'Sante,Volibear,Rell,Ryze,1
Vi,Ambessa,Taliyah,Corki,Nautilus,Rumble,Xin Zhao,Varus,Yone,Rell,1
Varus,Vi,Rumble,Ahri,Rell,Jayce,Sejuani,Ezreal,Corki,Braum,1
Azir,Kalista,Sejuani,Leona,Jax,Rumble,Yone,Vi,Varus,Braum,1
Viktor,Viego,Renekton,Miss Fortune,Leona,K'Sante,Nocturne,Orianna,Kai'Sa,Rakan,0
Ashe,Maokai,Azir,Viego,Renata Glasc,Jhin,K'Sante,Sylas,Xin Zhao,Pyke,0
Aurora,K'Sante,Ezreal,Lee Sin,Rell,Orianna,Xin Zhao,Ambessa,Corki,Rakan,0
Rumble,Corki,Maokai,Kai'Sa,Leona,Ashe,Yone,Zyra,Renekton,Braum,0
K'Sante,Wukong,Taliyah,Zeri,Rell,Xin Zhao,Caitlyn,Jayce,Viktor,Poppy,1
Varus,K'Sante,Aurora,Lee Sin,Rell,Jayce,Corki,Akali,Wukong,Rakan,0
Sejuani,Jax,Azir,Jinx,Lulu,Ambessa,Rakan,Xayah,Akali,Jarvan IV,1
Yone,Sejuani,Udyr,Jinx,Braum,Miss Fortune,Sylas,Xin Zhao,Ambessa,Bard,0
Nidalee,Ezreal,Leona,Ambessa,Jayce,Ashe,Zyra,Yone,Rell,Gragas,1
Rumble,Ahri,Viego,Xayah,Leona,Galio,Nocturne,LeBlanc,Kai'Sa,Alistar,0
K'Sante,Varus,Renata Glasc,Viktor,Xin Zhao,Rumble,Wukong,Corki,Rakan,Xerath,1
Vi,Ahri,Jinx,Sion,Braum,Poppy,Azir,Jax,Jhin,Bard,1
Varus,Wukong,K'Sante,Lux,Nautilus,Kalista,Skarner,Viktor,Gnar,Leona,0
Wukong,Rell,Ezreal,Orianna,Ornn,Viktor,Viego,Xayah,Braum,Fiora,0
Corki,Sejuani,Sylas,Rakan,K'Sante,Ashe,Viktor,Poppy,Jax,Nautilus,0
K'Sante,Ezreal,Jarvan IV,Leona,Hwei,Rumble,Varus,Viego,Rell,Orianna,0
Corki,Xin Zhao,Orianna,Alistar,Rumble,Viktor,K'Sante,Varus,Rell,Jax,0
Skarner,Draven,Viktor,Nautilus,Gnar,Maokai,Jinx,Hwei,Wukong,Leona,1
Corki,Amumu,Orianna,Gnar,Leona,Varus,Wukong,K'Sante,Hwei,Braum,0
Varus,Nocturne,Orianna,Ambessa,Alistar,Miss Fortune,Vi,Rell,Azir,Gnar,1
Corki,Skarner,Ambessa,Ahri,Nautilus,Sion,Rell,Yone,Brand,Xayah,0
Corki,Azir,Renekton,Jarvan IV,Nautilus,Varus,K'Sante,Vi,Syndra,Braum,0
Corki,Zyra,Renekton,Cassiopeia,Nautilus,Nocturne,Aurora,Rakan,Ezreal,Jayce,1
Rumble,Vi,Yone,Ezreal,Leona,Ambessa,Sejuani,Azir,Corki,Rell,1
Varus,Orianna,Xin Zhao,Nautilus,Maokai,Viktor,Wukong,Jax,Kai'Sa,Taric,0
Ashe,Viktor,Viego,Braum,Maokai,Jax,Sejuani,Jhin,Azir,Rell,1
Ashe,Nidalee,Leona,Renekton,Hwei,Corki,Zyra,Caitlyn,Ambessa,Bard,1
Vi,Aurora,Rakan,Tristana,Ornn,Jayce,Xin Zhao,Galio,Jinx,Lulu,0
Rumble,Viktor,Varus,Rell,Viego,Corki,Zyra,K'Sante,Miss Fortune,Alistar,0
Aurora,Ambessa,Xin Zhao,Poppy,Xayah,Jayce,Vi,Ezreal,Leona,Vladimir,0
Kalista,Sejuani,Rumble,Elise,Smolder,Ambessa,Renata Glasc,Aurora,Varus,Nocturne,1
Varus,Sejuani,Yone,Nautilus,Jax,Jayce,Zyra,Miss Fortune,Rakan,Renekton,0
Ashe,Lee Sin,Braum,Gangplank,Taliyah,Wukong,Jhin,Rakan,Gnar,Swain,0
Corki,Zyra,Leona,Jax,Ezreal,Maokai,Azir,Ashe,Rell,Gangplank,0
K'Sante,Xin Zhao,Viktor,Kai'Sa,Alistar,Ezreal,Poppy,Orianna,Lee Sin,Ambessa,1
Nocturne,Jhin,Rell,Sion,Hwei,Caitlyn,Wukong,Braum,Gragas,Taliyah,0
Corki,Rumble,Wukong,Jhin,Leona,K'Sante,Caitlyn,Lux,Galio,Kindred,0
Miss Fortune,Sejuani,Ambessa,Rakan,Yone,Jax,Jinx,Braum,Zyra,Renekton,1
Varus,Jayce,Xin Zhao,Alistar,Aurora,Ezreal,Viego,Ornn,Nautilus,Sylas,1
Varus,Jayce,Lillia,Poppy,Sett,Corki,Sejuani,Ambessa,Leona,Miss Fortune,1
Vi,Ashe,Gnar,Taliyah,Nautilus,Pantheon,Rumble,Ezreal,Elise,Zilean,0
Vi,Taliyah,Ambessa,Ezreal,Poppy,Jayce,Xin Zhao,Galio,Xayah,Rakan,0
K'Sante,Orianna,Nocturne,Corki,Leona,Varus,Viktor,Jayce,Rakan,Rengar,1
Corki,Leona,Wukong,Ornn,Viktor,Rumble,Aurora,Caitlyn,Elise,Lee Sin,0
Aurora,Wukong,Renekton,Ezreal,Braum,Vi,Miss Fortune,Gnar,Vladimir,Alistar,0
Corki,Nidalee,Jayce,Miss Fortune,Alistar,Ashe,Zyra,Leona,Yone,Ambessa,1
Corki,Maokai,Varus,Nidalee,Rell,Wukong,Aurora,Ashe,Jax,Leona,1
Vi,K'Sante,Aurora,Kai'Sa,Rakan,Orianna,Wukong,Ezreal,Malphite,Poppy,0
Yone,Ziggs,Sejuani,Aatrox,Pyke,Ashe,Zyra,Rell,Smolder,Camille,0
Corki,Skarner,Nautilus,Renekton,Annie,Rell,Kog'Maw,Karthus,Jax,Smolder,0
Corki,Xin Zhao,Hwei,K'Sante,Nautilus,Varus,Maokai,Orianna,Viego,Braum,0
Rumble,Corki,Sejuani,Ezreal,Braum,Varus,Galio,Viego,Rell,Ahri,1
Skarner,Varus,Rell,Hwei,Renekton,Galio,Nautilus,Senna,Diana,Gnar,1
Jayce,Vi,Akali,Caitlyn,Neeko,Miss Fortune,Viktor,Xin Zhao,Udyr,Nautilus,0
Viktor,Sejuani,K'Sante,Zeri,Rell,Varus,Maokai,Orianna,Garen,Alistar,0
Corki,Ivern,Jax,Taliyah,Alistar,Renekton,Sejuani,Azir,Rell,Miss Fortune,1
Viktor,Jax,Maokai,Rell,Ezreal,Jayce,Xin Zhao,Galio,Jinx,Braum,1
Skarner,Varus,Rell,Azir,K'Sante,Miss Fortune,Ivern,Viktor,Alistar,Jax,1
Viktor,Ezreal,Sejuani,Alistar,Jayce,Miss Fortune,Wukong,Akali,Rell,Gragas,1
Vi,Rumble,Galio,Leona,Kai'Sa,Jayce,Xin Zhao,Azir,Rakan,Xayah,0
Yone,Ziggs,Ambessa,Alistar,Viego,K'Sante,Ashe,Akali,Rell,Lee Sin,0
K'Sante,Zyra,Corki,Alistar,Ezreal,Nidalee,Varus,Yone,Leona,Aurora,0
Viktor,Xin Zhao,K'Sante,Miss Fortune,Leona,Varus,Wukong,Akali,Maokai,Braum,1
Jayce,Wukong,Galio,Jinx,Tahm Kench,Xin Zhao,Ambessa,Sylas,Rell,Miss Fortune,0
Jayce,Zyra,Jhin,Ambessa,Nautilus,Ashe,Vi,Rell,Taliyah,Karma,1
Skarner,Varus,Viktor,Ambessa,Alistar,Ashe,Aurora,Viego,Jax,Pyke,0
Nocturne,Aurora,Jinx,Lulu,Jax,Renekton,Viego,Ryze,Rakan,Kai'Sa,0
Varus,Skarner,K'Sante,Orianna,Rakan,Ezreal,Leona,Olaf,Lillia,Akali,0
Nocturne,Jayce,Hwei,Poppy,Smolder,K'Sante,Galio,Kindred,Corki,Elise,1
Corki,Pantheon,Azir,Gragas,Poppy,Ezreal,Lee Sin,Udyr,Alistar,Brand,0
Ashe,Rumble,Rell,Jarvan IV,Akali,Orianna,Nocturne,Ornn,Miss Fortune,Poppy,1
Varus,Lee Sin,K'Sante,Ahri,Rell,Kalista,Wukong,Viktor,Renekton,Alistar,1
Sejuani,Miss Fortune,Ambessa,Poppy,Azir,Zyra,Yone,Jax,Leona,Ezreal,0
Aurora,Maokai,Aphelios,Alistar,Sylas,Jayce,Sejuani,Varus,Rell,Galio,1
Ashe,Wukong,Braum,Renekton,Sylas,Xin Zhao,Corki,Rakan,Gragas,Galio,0
Viktor,Maokai,Ezreal,Jax,Leona,Varus,Galio,Xin Zhao,Jayce,Rell,1
Corki,Sejuani,Azir,Renekton,Leona,Rumble,Vi,Yone,Kai'Sa,Rell,0
Kalista,Renata Glasc,K'Sante,Xin Zhao,Ahri,Corki,Maokai,Varus,Rumble,Rell,0
Vi,Kalista,Renata Glasc,Ambessa,Sylas,K'Sante,Varus,Sejuani,Seraphine,Orianna,0
Skarner,Ezreal,Rell,Rumble,Yone,Ivern,Azir,Corki,Leona,Ambessa,1
Viktor,Ambessa,Sejuani,Corki,Rell,K'Sante,Varus,Galio,Xin Zhao,Rakan,1
Ashe,Jayce,Leona,Zyra,Yone,Rumble,Pantheon,Orianna,Jhin,Alistar,0
K'Sante,Leona,Nidalee,Ziggs,Jayce,Rumble,Varus,Rell,Xin Zhao,Aurora,1
Rumble,Wukong,Yone,Kai'Sa,Taric,K'Sante,Vi,Akali,Ashe,Braum,0
Yone,Lillia,Renekton,Rakan,Xayah,Ambessa,Zyra,Maokai,Jinx,Nautilus,0
Kalista,Renata Glasc,Renekton,Lee Sin,LeBlanc,Varus,Taliyah,Xin Zhao,Gragas,Elise,0
Vi,Jax,Kai'Sa,Tryndamere,Elise,Ezreal,Wukong,Viktor,Ornn,Galio,0
Leona,Jhin,Aurora,Nocturne,Ambessa,Ezreal,Azir,Viego,Maokai,Alistar,1
K'Sante,Wukong,Varus,Ahri,Nautilus,Ambessa,Vi,Aurora,Miss Fortune,Rell,1
Ashe,Zyra,Yone,Renekton,Braum,Viktor,Ezreal,Jax,Sion,Rakan,1
Jayce,Kindred,Galio,Aphelios,Lulu,Orianna,Xin Zhao,Rumble,Jinx,Pyke,1
Corki,Maokai,K'Sante,Rell,Hwei,Kalista,Sejuani,Olaf,Cassiopeia,Leona,1
Viktor,Ivern,Corki,Leona,Renekton,Maokai,Varus,Rell,Hwei,Jayce,0
Corki,Zyra,K'Sante,Rell,Yone,Vi,Ezreal,Rakan,Ambessa,Ahri,1
Viktor,Draven,Xin Zhao,Rell,Poppy,Corki,Nidalee,Yone,K'Sante,Leona,1
Corki,Sejuani,K'Sante,Yone,Poppy,Varus,Vi,Ambessa,Taliyah,Renata Glasc,1
Viktor,Xin Zhao,Ambessa,Miss Fortune,Rell,K'Sante,Viego,Azir,Ezreal,Braum,1
Caitlyn,Kindred,Galio,Jax,Renata Glasc,Vi,Aurora,Jhin,Poppy,Bard,0
K'Sante,Wukong,Varus,Taliyah,Rakan,Ashe,Poppy,Braum,Vi,Ahri,1
Leona,Xin Zhao,Ezreal,Aurora,Ornn,Jayce,Miss Fortune,Lee Sin,Elise,Vladimir,1
K'Sante,Nocturne,Orianna,Miss Fortune,Rell,Ashe,Sejuani,Ambessa,Azir,Leona,0
Rumble,Rell,Viego,Ryze,Xayah,Sejuani,Akali,Ambessa,Jinx,Lulu,0
Jayce,Pantheon,Taliyah,Ezreal,Karma,Viego,Aurora,Irelia,Caitlyn,Elise,1
Kalista,Renekton,Neeko,LeBlanc,Kha'Zix,Zyra,Nautilus,Ziggs,Sion,Yasuo,0
Viktor,Maokai,Miss Fortune,K'Sante,Seraphine,Wukong,Ezreal,Braum,Kog'Maw,Ambessa,1
Wukong,K'Sante,Miss Fortune,Leona,Sylas,Ambessa,Maokai,Corki,Volibear,Udyr,1
Corki,Nocturne,Orianna,Alistar,Renekton,Viktor,Vi,Rell,Kai'Sa,K'Sante,0
Varus,Aatrox,Ivern,Rell,Aurora,Rumble,Viego,Nautilus,Corki,Taliyah,0
Corki,Sion,Rell,Lillia,Yone,Varus,Skarner,Ambessa,Rakan,Ahri,0
Vi,K'Sante,Viktor,Xayah,Rakan,Wukong,Aurora,Galio,Rell,Aphelios,1
Maokai,Corki,Rell,Aatrox,Yone,Vi,Ezreal,Rumble,Alistar,Azir,0
Corki,Xin Zhao,Orianna,Ambessa,Renata Glasc,Varus,Sejuani,Jax,Akali,Lulu,1
Viktor,Varus,Wukong,Jayce,Poppy,Rell,Corki,Yone,Amumu,Malphite,1
Corki,Skarner,Azir,Alistar,Rumble,Viktor,Kalista,Brand,Rell,Gnar,1
Corki,Wukong,Aurora,Rakan,Rumble,Ezreal,Maokai,Jayce,Rell,Galio,1
Vi,K'Sante,Viktor,Alistar,Kai'Sa,Sejuani,Jayce,Rell,Hwei,Xayah,1
Viego,Rakan,Miss Fortune,Syndra,Jayce,Xin Zhao,Hwei,Renata Glasc,Ashe,Malphite,0
Skarner,Ambessa,Leona,Ziggs,Ahri,Rumble,Varus,Vi,Renata Glasc,Yone,1
K'Sante,Wukong,Azir,Zeri,Alistar,Jayce,Sejuani,Ezreal,Viktor,Pantheon,1
Rumble,Sejuani,Yone,Rell,Ezreal,Corki,Xin Zhao,Galio,Leona,Aurora,1
Ashe,Viego,Braum,Sion,Zoe,Xin Zhao,Kalista,Neeko,Renekton,Galio,1
K'Sante,Akali,Wukong,Kai'Sa,Rakan,Varus,Ambessa,Lee Sin,Taliyah,Nautilus,0
Vi,Taliyah,Ambessa,Kai'Sa,Rell,Jayce,Aurora,Pantheon,Miss Fortune,Leona,1
Nocturne,Viktor,Ornn,Caitlyn,Bard,Jax,Ashe,Orianna,Pantheon,Seraphine,0
K'Sante,Ezreal,Braum,Nidalee,Yone,Rumble,Corki,Ashe,Maokai,Seraphine,1
Kalista,Xin Zhao,Neeko,Gragas,Orianna,Jax,Sejuani,Varus,Sylas,Nautilus,0
Ornn,Viego,Aurora,Jinx,Leona,Fiora,Wukong,Galio,Kai'Sa,Alistar,0
Viktor,Corki,Vi,Rakan,Cho'Gath,Varus,Maokai,K'Sante,Xerath,Lulu,1
Varus,Rell,Viego,Ziggs,Maokai,Vi,Ezreal,Nautilus,Syndra,Gwen,1
Corki,Sejuani,Ambessa,Orianna,Rakan,Rumble,Vi,Kalista,Taliyah,Rell,1
Viktor,Corki,Viego,Nautilus,K'Sante,Sejuani,Yone,Rakan,Jinx,Aurora,1
Kalista,Renata Glasc,K'Sante,Xin Zhao,Azir,Corki,Taliyah,Rell,Shen,Bel'Veth,0
Skarner,Sylas,Jinx,Darius,Thresh,Corki,Maokai,Rell,Viego,Vladimir,0
Rumble,Maokai,Yone,Jinx,Lulu,Ezreal,Ornn,Cassiopeia,Viego,Karma,0
K'Sante,Caitlyn,Wukong,Sylas,Renata Glasc,Maokai,Miss Fortune,Viego,Rell,Hwei,0
Viktor,K'Sante,Maokai,Jinx,Rakan,Ezreal,Jayce,Leona,Xin Zhao,Azir,1
Skarner,Azir,Gnar,Kalista,Renata Glasc,K'Sante,Jinx,Sylas,Sejuani,Lulu,1
Ezreal,Rumble,Ambessa,Ivern,Leona,Ornn,Jhin,Rakan,Wukong,Akali,1
Maokai,Corki,Rell,Galio,Viego,Kalista,Viktor,K'Sante,Vi,Alistar,0
Varus,Wukong,Viktor,Alistar,Ambessa,Ezreal,Viego,Syndra,Rell,Jax,0
Viktor,Corki,K'Sante,Rakan,Lee Sin,Sejuani,Jayce,Yone,Rell,Veigar,1
Ezreal,Renekton,Xin Zhao,Azir,Leona,Viego,Kai'Sa,Galio,K'Sante,Rell,0
Vi,Caitlyn,Rumble,Nautilus,Orianna,Kalista,Jayce,Neeko,Xin Zhao,Syndra,1
Nocturne,Sylas,Galio,Tahm Kench,Senna,Maokai,Aurora,Xayah,Nautilus,Aatrox,1
Corki,Jarvan IV,Galio,Rakan,Jax,Varus,Maokai,Ambessa,Rell,Swain,1
Vi,Syndra,Rumble,Xayah,Rakan,Orianna,Wukong,Ezreal,Leona,Aurora,1
Maokai,Rumble,Corki,Ezreal,Alistar,K'Sante,Varus,Xin Zhao,Rell,Hwei,1
Rumble,Vi,Ezreal,Viktor,Rakan,Galio,Viego,Varus,Rell,K'Sante,1
Corki,K'Sante,Akali,Leona,Xin Zhao,Orianna,Rell,Varus,Gnar,Viego,1
Viktor,Wukong,Varus,K'Sante,Rell,Ezreal,Yone,Rumble,Amumu,Alistar,1
Varus,Vi,Rumble,Yone,Rell,Ezreal,Wukong,Sion,Azir,Braum,0
Skarner,Ornn,Ezreal,Cassiopeia,Elise,Ivern,Jayce,Gwen,Braum,Ashe,1
Maokai,Miss Fortune,Alistar,LeBlanc,Nocturne,Jhin,Wukong,Azir,Bard,Ambessa,0
Rumble,Xin Zhao,Viktor,Xayah,Rakan,Jayce,Pantheon,Akali,Corki,Nautilus,1
Varus,K'Sante,Xin Zhao,Renata Glasc,Taliyah,Viktor,Vi,Ambessa,Kai'Sa,Leona,0
Rumble,Vi,Taliyah,Jinx,Nautilus,Ambessa,Sejuani,Yone,Ezreal,Rell,0
K'Sante,Viego,Taliyah,Caitlyn,Leona,Azir,Ambessa,Nocturne,Ezreal,Rell,0
Ashe,Jayce,Braum,Azir,Wukong,K'Sante,Xin Zhao,Orianna,Corki,Leona,1
Rumble,Lee Sin,Ezreal,Rakan,Azir,Ashe,Viego,Ornn,Braum,Hwei,0
Renekton,Zyra,Jhin,Rakan,Hwei,Jax,Caitlyn,Lux,Lee Sin,Ryze,0
K'Sante,Vi,Aurora,Alistar,Kai'Sa,Jayce,Zyra,Leona,Jhin,Yone,1
Varus,Galio,Xin Zhao,Lulu,Urgot,Jax,Ashe,Azir,Rell,Lee Sin,0
K'Sante,Xin Zhao,Varus,Rakan,Aurora,Jayce,Ashe,Braum,Vi,Vladimir,1
Corki,Nidalee,Renekton,Ezreal,Alistar,Miss Fortune,Zyra,Rell,Ornn,Smolder,1
K'Sante,Maokai,Yone,Xayah,Poppy,Vi,Aurora,Ambessa,Kai'Sa,Nautilus,1
Leona,Nocturne,Orianna,Xayah,Maokai,Jinx,Nautilus,Ambessa,Wukong,Galio,1
Rumble,Sejuani,Corki,Lucian,Nami,Xin Zhao,Galio,Azir,Caitlyn,Lux,0
Sejuani,Yone,Kennen,Kog'Maw,Lulu,Gnar,Lillia,Kai'Sa,Sett,Elise,1
Lucian,Poppy,Nami,Sylas,Sion,Jhin,Pantheon,Karma,Akali,Mordekaiser,0
Maokai,Galio,Kai'Sa,Aatrox,Nautilus,Viktor,Vi,Rell,Ezreal,Udyr,1
Jayce,Varus,Rell,Xin Zhao,Orianna,Ashe,Maokai,Viktor,Poppy,Gnar,1
Viktor,Ivern,Aphelios,Braum,Ornn,Karthus,Jinx,Leona,Naafiri,Fiora,1
Maokai,Varus,Viktor,Alistar,K'Sante,Miss Fortune,Sejuani,Akali,Rell,Ambessa,0
Corki,Vi,Leona,Ezreal,Rumble,Wukong,Aphelios,Braum,Hwei,Pantheon,1
Corki,Jarvan IV,Xerath,Poppy,Rakan,Viktor,Xin Zhao,Ambessa,Galio,Maokai,1
Varus,Nocturne,Orianna,Nautilus,Poppy,Miss Fortune,Vi,Rell,Renekton,Kennen,1
Corki,Zyra,K'Sante,Ezreal,Nautilus,Jayce,Maokai,Varus,Rell,Azir,1
Maokai,Corki,Jayce,Akali,Rell,Aurora,Kalista,Annie,Nocturne,Alistar,1
Viktor,Vi,Draven,Rumble,Rell,K'Sante,Varus,Azir,Lee Sin,Alistar,0
Corki,Leona,Xin Zhao,Sion,Hwei,Viego,Rell,Xayah,Ornn,Aurora,0
Swain,Wukong,Gnar,Nautilus,Galio,Vi,Corki,Renekton,Leona,Azir,1
Viktor,Ezreal,Xin Zhao,Gragas,Alistar,Wukong,Orianna,Garen,Yasuo,Rell,0
Maokai,Rumble,Jayce,Kai'Sa,Nautilus,K'Sante,Corki,Ivern,Ezreal,Rakan,1
Ashe,Nidalee,Leona,Renekton,Viktor,Nocturne,Ezreal,K'Sante,Rell,Lux,0
Kalista,Renekton,Rell,Xerath,Ivern,Ambessa,Taliyah,Poppy,Wukong,Mordekaiser,1
Corki,Orianna,Rell,Poppy,Amumu,Viktor,K'Sante,Irelia,Wukong,Alistar,1
Corki,Sejuani,Ambessa,Sylas,Rakan,Viktor,Maokai,Rell,Miss Fortune,Pantheon,1
Varus,Sejuani,Renata Glasc,Yone,Gwen,Ezreal,Maokai,Aurora,Xin Zhao,Jax,0
Wukong,Varus,Maokai,Milio,Ahri,Ashe,K'Sante,Zyra,Leona,Sylas,1
Varus,Yone,Sejuani,Jax,Rakan,Maokai,Ezreal,Azir,Ambessa,Rell,0
Varus,K'Sante,Renata Glasc,Vi,Akali,Kai'Sa,Viego,Gnar,Pyke,Veigar,1
Corki,Aurora,Jarvan IV,Akali,Nautilus,Varus,Rell,Orianna,Nocturne,Maokai,1
Viktor,Kalista,Viego,Jax,Soraka,Wukong,Varus,Renata Glasc,K'Sante,Syndra,1
K'Sante,Corki,Rell,Brand,Ezreal,Ambessa,Varus,Sejuani,Rakan,Kai'Sa,0
Vi,Ashe,Ambessa,Taliyah,Rell,Azir,Wukong,Gragas,Jhin,Poppy,1
Ambessa,Aurora,Ezreal,Zac,Neeko,Viego,Varus,Hwei,Darius,Leona,0
Aurora,Xin Zhao,K'Sante,Jinx,Seraphine,Wukong,Jayce,Ryze,Ezreal,Lux,0
Skarner,Rumble,Yone,Rell,Miss Fortune,Varus,Ivern,Hwei,Jayce,Braum,1
Vi,Corki,Syndra,Camille,Rell,Orianna,Sejuani,Ambessa,Caitlyn,Braum,0
Aurora,Wukong,Jayce,Xayah,Rakan,K'Sante,Vi,Taliyah,Miss Fortune,Poppy,0
Viktor,Varus,Xin Zhao,Poppy,Rakan,Kalista,Neeko,Ambessa,Jarvan IV,Sylas,1
Sejuani,Jax,Ashe,Rell,Akali,Varus,Maokai,Azir,Xin Zhao,Renata Glasc,0
